query_label	disposition	disposition_reason	source_gse	discovery_query	passes_filters	filter_reason	title	submission_date	n_samples	organisms	tissue_keywords_found	chemistry_keywords_found	n_unique_tissues	sample_titles	summary	fastq_size_gb_estimated	access_status
C_human_lung	filter_failed	no tissue match for ['lung', 'pulmonary']	GSE312913	"scRNA-seq AND ""10x Genomics"" AND ""Homo sapiens""[ORGN] AND lung NOT PBMC"	no	no tissue match for ['lung', 'pulmonary']	Single-cell transcriptome analysis of bronchoalveolar lavage in SARS-CoV-2 Omicron severe patients	Dec 08 2025	2	Homo sapiens		10X; 10x; Chromium	1	BALF, Omicron, Day1, patient1 | BALF, Omicron, Day1, patient2	To delineate the single-cell transcriptional landscape of the lungs in severe patients infected with the Omicron variant of SARS-CoV-2, we performed single-cell RNA sequencing on bronchoalveolar lavage fluid samples collected within 24 hours of ICU admission.	TBD (resolve via SRA)	needs_sra_check
C_human_lung	overflow_passing_unselected	passed all auto-filters but not selected (only 2 additions accepted; see selected entries for the chosen)	GSE296751	"scRNA-seq AND ""10x Genomics"" AND ""Homo sapiens""[ORGN] AND lung NOT PBMC"	yes	year=2025, n_samples=1	scRNA-seq in FFPE lung tissues of patients with IPF	May 09 2025	1	Homo sapiens	lung	10X; 10x	1	Human lung tissue cells, FFPE	We performed scRNA-seq in FFPE lung tissues of patients with IPF to identify the cellular source of a transcriptomic  signature in lungs of patients with IPF	TBD (resolve via SRA)	needs_sra_check
C_human_lung	filter_failed	no tissue match for ['lung', 'pulmonary']	GSE292700	"scRNA-seq AND ""10x Genomics"" AND ""Homo sapiens""[ORGN] AND lung NOT PBMC"	no	no tissue match for ['lung', 'pulmonary']	Molecular architecture of the tumor microenvironment caused by BRCA1 and BRCA2 somatic mutations in human lung adenocarcinoma	Mar 24 2025	12	Homo sapiens		10X; 10x; Chromium	3	BRCA2-mutant tumors | BRCA2-mutant paracancerous | BRCA2-mutant peripheral blood | BRCA1-mutant tumors | BRCA1-mutant paracancerous	We have employed a single cell sequencing approach using 10x Genomics scRNAseq and scTCR-seq to study the heterogeneity and molecular architecture of tumor microenvironment (TME) caused by BRCA1 and BRCA2 somatic mutations in lung adenocarcinoma (LUAD). LUADs are considered to be a heterogeneity population in the lung epithelium. Homologous recombination repair (HRR) deficiency has been linked to enhanced immunotherapy responses in non-small cell lung cancer patients. The HRR genes BRCA1 and BRC	TBD (resolve via SRA)	needs_sra_check
C_human_lung	overflow_passing_unselected	passed all auto-filters but not selected (only 2 additions accepted; see selected entries for the chosen)	GSE284443	"scRNA-seq AND ""10x Genomics"" AND ""Homo sapiens""[ORGN] AND lung NOT PBMC"	yes	year=2024, n_samples=6	L1CAM generates SOX2+ metastatic progenitors through planar cell polarity signaling in lung adenocarcinoma	Dec 16 2024	6	Homo sapiens;Mus musculus	lung	10X; 10x; Chromium	2	KP cells, Day 0 | KP cells, Day 7 | H23 cells, CHD1, CHD1 ChIP-seq | H23 cells, CHD1, IgG ChIP-seq | H23 cells, cJun, cJun ChIP-seq	Lung adenocarcinoma (LUAD) is a leading cause of cancer-related deaths worldwide, with most fatalities attributed to metastasis. A primitive SOX2+ progenitor state, rare in primary tumors, becomes prominent in LUAD metastatic lesions and exhibits metastasis-initiating capacity. The signals that determine the emergence of SOX2+ progenitors are unknown. We report that the cell adhesion molecule L1CAM, a marker of metastasis-initiating regenerative progenitors, plays a crucial role in the emergence	TBD (resolve via SRA)	needs_sra_check
C_human_lung	filter_failed	no tissue match for ['lung', 'pulmonary']	GSE320020	"scRNA-seq AND ""10x Genomics"" AND ""Homo sapiens""[ORGN] AND lung NOT PBMC"	no	no tissue match for ['lung', 'pulmonary']	Macrophage–Fibroblast Signaling Network Identified by Single-Cell RNA Sequencing in Juvenile Systemic Sclerosis	Feb 19 2026	11	Homo sapiens		10X; 10x	1	S-32-C | S-27-C | SC288 | SC360 | SC367	Juvenile systemic scleroderma (SSc) is a rare autoimmune disease characterized by excessive fibrosis and vascular involvement. Adult-onset SSc and inflammatory-driven multi-organ fibrosis are similar; interstitial lung disease was recently found in 40% of SSc patients in an international cohort. While recent single-cell studies have explored different types of fibroblasts that are involved in juvenile systemic scleroderma, less is known about the specific immune interactions with fibroblasts tha	TBD (resolve via SRA)	needs_sra_check
C_human_lung	filter_failed	no tissue match for ['lung', 'pulmonary']	GSE281482	"scRNA-seq AND ""10x Genomics"" AND ""Homo sapiens""[ORGN] AND lung NOT PBMC"	no	no tissue match for ['lung', 'pulmonary']	Single-cell multi-omic analysis of post-transplant mesenchymal cells reveals molecular signatures and regulators of lung fibrosis (single-cell multiome sequencing)	Nov 09 2024	8	Homo sapiens		10X; 10x; Chromium	0	Mesenchymal cells, early time-point MCs 1, scATAC- | Mesenchymal cells, early time-point MCs 1, scRNA-s | Mesenchymal cells, early time-point MCs 2, scATAC- | Mesenchymal cells, early time-point MCs 2, scRNA-s | Mesenchymal cells, late time-point MCs 1, scATAC-s	Chronic lung allograft dysfunction (CLAD) is a critical challenge in lung transplantation. Dysregulated gene expression and epigenomic states in lung mesenchymal cells (MCs) play a key role in these conditions. We performed single-cell multi-omic profiling on MCs isolated from human bronchoalveolar lavage samples of lung transplant recipients with CLAD, compared with time-matched controls. Our results provide deeper insights into the transcriptomic and epigenomic changes in post-transplant MCs, 	TBD (resolve via SRA)	needs_sra_check
C_human_lung	filter_failed	no tissue match for ['lung', 'pulmonary']	GSE276139	"scRNA-seq AND ""10x Genomics"" AND ""Homo sapiens""[ORGN] AND lung NOT PBMC"	no	no tissue match for ['lung', 'pulmonary']	Gene expression profile at single cell level of cerebrospinal fluid (CSF) cells from lung adenocarcinoma leptomeningeal metastases patients (LUAD LM)	Aug 31 2024	6	Homo sapiens		10X; 10x; Chromium	1	CSF, LUAD LM, 1 | CSF, LUAD LM, 2 | CSF, LUAD LM, 3 | CSF, LUAD LM, 4 | CSF, LUAD LM, 5	Lung adenocarcinoma (LUAD)-derived leptomeningeal metastases (LM) represent a predominant subtype among all LM cases. Nevertheless, the cerebrospinal fluid (CSF) profile of LUAD-LM patients remains poorly characterized and reliable CSF diagnostic biomarkers for LUAD-LM have yet to be established. Using single-cell RNA sequencing data of CSF cells from six LUAD-LM patients, we drew a systematic transcriptomic atlas of the CSF cellular landscape. Our analysis revealed that LUAD-LM reprograms CSF i	TBD (resolve via SRA)	needs_sra_check
C_human_lung	filter_failed	chemistry keywords ['10X', '10x', 'Chromium'] not in extract_protocol	GSE282248	"scRNA-seq AND ""10x Genomics"" AND ""Homo sapiens""[ORGN] AND lung NOT PBMC"	no	chemistry keywords ['10X', '10x', 'Chromium'] not in extract_protocol	Single-cell multi-omic analysis of post-transplant mesenchymal cells reveals molecular signatures and regulators of lung fibrosis (scRNA-seq)	Nov 18 2024	5	Homo sapiens	lung		1	Normal replicate 1, Non-depleted, scRNA-seq | CLAD, Non-depleted, scRNA-seq | Normal replicate 2, Non-depleted, scRNA-seq | CLAD, CD45+ depleted, scRNA-seq | Normal, CD45+ depleted, scRNA-seq	Chronic lung allograft dysfunction (CLAD) is a critical challenge in lung transplantation. Dysregulated gene expression and epigenomic states in lung mesenchymal cells (MCs) play a key role in these conditions. We performed single-cell multi-omic profiling on MCs isolated from human bronchoalveolar lavage samples of lung transplant recipients with CLAD, compared with time-matched controls. Our results provide deeper insights into the transcriptomic and epigenomic changes in post-transplant MCs, 	TBD (resolve via SRA)	needs_sra_check
C_human_lung	overflow_passing_unselected	passed all auto-filters but not selected (only 2 additions accepted; see selected entries for the chosen)	GSE325412	"scRNA-seq AND ""10x Genomics"" AND ""Homo sapiens""[ORGN] AND lung NOT PBMC"	yes	year=2026, n_samples=4	Robust generation of distal respiratory airway organoids by an engineered cuboid chip to therapy chronic obstructive pulmonary disease	Mar 19 2026	4	Homo sapiens	lung	10X; 10x; Chromium	1	LPC_Cub | LPC_Drop | DRAO_Cuboid | AO_Cub	Background Human distal respiratory airway (DRA) cells are located in the smallest conducting airways of the human lung, specifically in the terminal and respiratory bronchioles, and represent a newly discovered cell type. Due to their absence in mice and the limited existing research on these cells, there is an urgent need to establish an in vitro model of human distal respiratory airways to study the role of such cells in respiratory diseases. Results Here, we developed a robust differentiatio	TBD (resolve via SRA)	needs_sra_check
C_human_lung	rejected_after_deepdive	5' v2 chemistry — out of Audit 3 scope (deferred to Audit 3e)	GSE294175	"scRNA-seq AND ""10x Genomics"" AND ""Homo sapiens""[ORGN] AND lung NOT PBMC"	yes	year=2025, n_samples=9	HER2 Overexpression Drives Drug-Tolerant Persisters to First-Line Amivantamab and Lazertinib in EGFR-Mutant Non-Small Cell Lung Cancer	Apr 09 2025	9	Homo sapiens	lung	10X; 10x; Chromium	1	Regrowth sample 1 | Regrowth sample 2 | Regrowth sample 3 | Internal sample 1 | Internal sample 2	In 2024, the U.S. FDA approved first-line amivantamab-lazertinib combination therapy for epidermal growth factor receptor (EGFR)-mutant non-small cell lung cancer (NSCLC) based on the MARIPOSA trial, which demonstrated superior overall survival (OS) over osimertinib. However, the underlying mechanisms of resistance to this therapy are still poorly understood. Here, we investigated the drug-tolerant state induced by amivantamab-lazertinib in a treatment-naïve NSCLC patient-derived xenograft (PDX)	TBD (resolve via SRA)	needs_sra_check
C_human_lung	filter_failed	no tissue match for ['lung', 'pulmonary']	GSE299245	"scRNA-seq AND ""10x Genomics"" AND ""Homo sapiens""[ORGN] AND lung NOT PBMC"	no	no tissue match for ['lung', 'pulmonary']	Single-cell RNA sequencing reveals deuterosomal cells during differentiation of hiPSCs into airway multiciliated cells	Jun 06 2025	1	Homo sapiens		10X; 10x; Chromium	1	201B7_Air_ALI_day62	We performed single-cell RNA sequencing (scRNA-seq) to investigate the differentiation of human induced pluripotent stem cells (hiPSCs) into airway multiciliated cells. The analysis revealed diverse epithelial cell types, including basal, secretory, goblet, and pulmonary neuroendocrine cells, as well as a distinct population of deuterosomal cells. This dataset provides a valuable resource for studying human multiciliogenesis and related diseases.	TBD (resolve via SRA)	needs_sra_check
C_human_lung	selected	Added to Audit 3 working set (see audit3_inputs.tsv)	GSE287209	"scRNA-seq AND ""10x Genomics"" AND ""Homo sapiens""[ORGN] AND lung NOT PBMC"	yes	year=2025, n_samples=3	A human organoid model of alveolar regeneration reveals distinct epithelial responses to interferon-gamma	Jan 16 2025	3	Homo sapiens	lung	10X; 10x; Chromium	1	LX469, ALVO-EM | LX470, AT2-MM | LX471, AT1/2-M	Chronic obstructive pulmonary disease (COPD) is characterized by inflammation and emphysema, leading to progressive alveolar destruction. Currently, no therapies effectively regenerate the alveolar epithelium. Here, we developed and characterized a feeder- and serum-free primary adult human organoid model to investigate how inflammatory conditions influence alveolar regeneration. Using Wnt activation and heregulin-β, we achieved long-term expansion of progenitor cells, while AT2 maturation proto	TBD (resolve via SRA)	needs_sra_check
C_human_lung	filter_failed	no tissue match for ['lung', 'pulmonary']	GSE294640	"scRNA-seq AND ""10x Genomics"" AND ""Homo sapiens""[ORGN] AND lung NOT PBMC"	no	no tissue match for ['lung', 'pulmonary']	Novel Stem Cell Model Uncovers Macrophage-Mediated Antiviral Immunity and Repair in Human Type 2 Alveolar Epithelial Cells	Apr 15 2025	1	Homo sapiens		10X; 10x; Chromium	1	iAT2_iMAC (multiplexed samples)	The lung alveoli are constantly exposed to inhaled pathogens and inorganic hazards, relying on robust defence mechanisms to maintain homeostasis. Alveolar macrophages and type 2 alveolar epithelial cells (AT2s) collaborate to orchestrate protection. Compromised defence can dysregulate immunity and repair, leading to acute and chronic respiratory diseases. To better understand these processes and drive therapeutic discovery, human model systems that capture key cell interactions are essential. He	TBD (resolve via SRA)	needs_sra_check
C_human_lung	overflow_passing_unselected	passed all auto-filters but not selected (only 2 additions accepted; see selected entries for the chosen)	GSE305872	"scRNA-seq AND ""10x Genomics"" AND ""Homo sapiens""[ORGN] AND lung NOT PBMC"	yes	year=2025, n_samples=1	Single-cell RNA sequencing of Lung Squamous Cell Carcinoma Assosciated with Idiopathic Pulmonary Fibrosis	Aug 19 2025	1	Homo sapiens	lung	10X; 10x; Chromium	1	Lung squamous cell carcinoma with usual interstiti	This dataset contains single-cell RNA sequencing (scRNA-seq) data from two patients with lung squamous cell carcinoma (LUSC) associated with idiopathic pulmonary fibrosis (IPF). Tumor and adjacent lung tissues (within and outside UIP lesions) from two patients were snap-frozen, fixed, and processed using the 10x Genomics Chromium Fixed RNA Profiling workflow. Libraries were sequenced on an Illumina NovaSeq 6000 platform and processed using Cell Ranger (10x Genomics).	TBD (resolve via SRA)	needs_sra_check
C_human_lung	filter_failed	no tissue match for ['lung', 'pulmonary']	GSE295518	"scRNA-seq AND ""10x Genomics"" AND ""Homo sapiens""[ORGN] AND lung NOT PBMC"	no	no tissue match for ['lung', 'pulmonary']	synNotch CAR-Macrophages promote persistent antitumour activity through enhanced adaptive immunity [scRNA-Seq human]	Apr 24 2025	2	Homo sapiens		10X; 10x; Chromium	1	PBS | syN-CAR-exo	Chimeric antigen receptor-macrophage (CAR-M) possess the ability to migrate into the immunosuppressive tumour microenvironment (TME) of solid tumours and mediate phagocytosis. However, their efficacy is limited by challenges in precisely controlling tumour-specific immune activation and sustaining adaptive antitumour responses due to systemic off-target risks and inefficient antigen presentation. To overcome these limitations, we engineered an antigen prime-and-kill circuit, wherein tumour-speci	TBD (resolve via SRA)	needs_sra_check
D_mouse_other	filter_failed	chemistry keywords ['10X', '10x', 'Chromium'] not in extract_protocol	GSE306684	"scRNA-seq AND ""10x Genomics"" AND ""Mus musculus""[ORGN] AND (kidney OR intestine OR lung) NOT neuron NOT liver"	no	chemistry keywords ['10X', '10x', 'Chromium'] not in extract_protocol	E Protein-Driven iNKT Subset Modulation Shapes Early Immune Responses during Influenza A Virus Infection.	Aug 28 2025	2	Mus musculus	lung		1	Lung iNKT scRNA-seq — Sublibrary2_S76 (2023-03 run | Lung iNKT scRNA-seq — Sublibrary1_S238 (2023-06 ru	IAV infection elicits a robust immune response including invariant natural killer T (iNKT) cells. Using mouse strains with normal iNKT numbers but altered subset representation (NKTWT vs NKTET-2), we show that NKTET-2 mice exhibit reduced weight loss, diminished neutrophil recruitment and inflammatory monocyte activation, and ~40% less HA+ infected lung area versus controls. Early lung expression of type I IFN–responsive genes (IFIT1, ISG15) and chemokines (CCL2, CXCL2) was lower in NKTET-2, whe	TBD (resolve via SRA)	needs_sra_check
D_mouse_other	filter_failed	no tissue match for ['kidney', 'intestine', 'lung', 'renal']	GSE329909	"scRNA-seq AND ""10x Genomics"" AND ""Mus musculus""[ORGN] AND (kidney OR intestine OR lung) NOT neuron NOT liver"	no	no tissue match for ['kidney', 'intestine', 'lung', 'renal']	MODELING TISSUE-RESIDENT MACROPHAGE DEVELOPMENT FROM MOUSE PLURIPOTENT STEM CELLS	May 05 2026	5	Mus musculus		10X; 10x; Chromium	0	scRNA-seq timecourse  D0, D1, D2, D3 | scRNA-seq timecourse  D4, D5, D6, D16 | scRNA-seq of D16 2D microglia-like cells (B27-TIC  | scRNA-seq of D18 neuroimmune organoids | scRNA-seq of D25 neuroimmune organoids	Tissue-resident macrophages (TRMs) are innate immune cells that participate in tissue development, homeostasis, and immune surveillance. Extensive efforts have been made to recapitulate TRM development from pluripotent stem cells (PSCs) in vitro to study molecular and cellular mechanisms of TRM development and to create cellular models of disease. However, available PSC models of mouse TRM development exhibit low overall efficiencies of TRM generation, generate heterogeneous off-target populatio	TBD (resolve via SRA)	needs_sra_check
D_mouse_other	overflow_passing_unselected	passed all auto-filters but not selected (only 2 additions accepted; see selected entries for the chosen)	GSE319598	"scRNA-seq AND ""10x Genomics"" AND ""Mus musculus""[ORGN] AND (kidney OR intestine OR lung) NOT neuron NOT liver"	yes	year=2026, n_samples=9	Lineage identity governs oncogene dependence in murine NSCLC models of KRAS inhibitor resistance [scRNA-Seq]	Feb 17 2026	9	Mus musculus	lung	10X; 10x; Chromium	1	KcP Cas9 vehicle treated tumor 1, 18 weeks p.i. | KcP Cas9 vehicle treated tumor 2, 18 weeks p.i. | KcP Cas9 vehicle treated tumor 3, 18 weeks p.i. | KcP Cas9 vehicle treated tumor 4, 18 weeks p.i. | KcP Cas9 sotorasib treated tumor 1, 18 weeks p.i.	Primary and acquired resistance to targeted therapy represent significant challenges to durable treatment responses in cancer. In lung cancer and other cancer types, allele- specific and pan-KRAS inhibitors offer new promise, but these are hampered by incomplete responses as well as genetic and non-genetic mechanisms of acquired resistance. To model these mechanisms, we treat genetically engineered mouse models of KrasG12C-driven lung cancer with sotorasib, a KRASG12C inhibitor, until the emerge	TBD (resolve via SRA)	needs_sra_check
D_mouse_other	overflow_passing_unselected	passed all auto-filters but not selected (only 2 additions accepted; see selected entries for the chosen)	GSE327572	"scRNA-seq AND ""10x Genomics"" AND ""Mus musculus""[ORGN] AND (kidney OR intestine OR lung) NOT neuron NOT liver"	yes	year=2026, n_samples=2	Immune niche analysis in breast tumour derived lung metastasis	Apr 09 2026	2	Mus musculus	lung	10X; 10x; Chromium	1	Distal lung immune cells | Niche immune cells	We used our Cherry-niche labelling system to specifically isolate immune cells from the metastatic niche of established 4T1 lung metastases and compared their profile with immune cells isolated from the distal lung away from the tumour growth.	TBD (resolve via SRA)	needs_sra_check
D_mouse_other	rejected_after_deepdive	mixed organism (human + mouse) ambiguity; only 6/16 SRA links	GSE314446	"scRNA-seq AND ""10x Genomics"" AND ""Mus musculus""[ORGN] AND (kidney OR intestine OR lung) NOT neuron NOT liver"	yes	year=2025, n_samples=16	Human GPR15 deficiency reveals CD8+ T regulatory cell-macrophage crosstalk in intestinal inflammation	Dec 19 2025	16	Homo sapiens;Mus musculus	intestine	10X; 10x; Chromium	2	Citeseq, mouse CD8 T-cells, biol_rep1, GEX | Citeseq, mouse CD8 T-cells, biol_rep1, ADT | Citeseq, mouse CD8 T-cells, biol_rep1, HTO | Citeseq, mouse CD8 T-cells, biol_rep2, GEX | Citeseq, mouse CD8 T-cells, biol_rep2, ADT	We employed a CITE-seq combined with single-cell sequencing approach using 10x Genomics scRNA-seq to analyze peripheral and intestinal lymphocytes from Gpr15⁻/⁻ mice and from patients carrying deleterious GPR15 mutations. We show that GPR15, a G protein–coupled receptor (GPCR) expressed in immune cells and previously described as an entry co-factor for human and simian immunodeficiency viruses, serves as a crucial marker and homing receptor for a unique subset of intramucosal GPR15-guided regula	TBD (resolve via SRA)	needs_sra_check
D_mouse_other	selected	Added to Audit 3 working set (see audit3_inputs.tsv)	GSE325955	"scRNA-seq AND ""10x Genomics"" AND ""Mus musculus""[ORGN] AND (kidney OR intestine OR lung) NOT neuron NOT liver"	yes	year=2026, n_samples=14	The Transcription Factor TCF21 is Necessary for Adoption of Cell Fates by Foxd1+ Stromal Progenitors during Kidney Development	Mar 25 2026	14	Mus musculus	kidney	10X; 10x; Chromium	1	E14.5_scRNA_Control_Female | E14.5_scRNA_Control_Male | E14.5_scRNA_Mutant_Female | E14.5_scRNA_Mutant_Male | E18.5_scRNA_Control_Female	The stromal compartment of the developing kidney arises from Foxd1-expressing progenitors and gives rise to diverse cell types essential for nephrogenesis, including the renal stroma, capsule, mesangial cells, renin cells, pericytes, and vascular smooth muscle cells (VSMCs). However, the molecular mechanisms guiding their fate specification remain incompletely defined. Here, we identify the basic helix-loop-helix transcription factor Tcf21 as a critical determinant of stromal cell identity durin	TBD (resolve via SRA)	needs_sra_check
D_mouse_other	filter_failed	exclude match: PBMC	GSE317309	"scRNA-seq AND ""10x Genomics"" AND ""Mus musculus""[ORGN] AND (kidney OR intestine OR lung) NOT neuron NOT liver"	no	exclude match: PBMC	Combination of a CCL21-gene modified dendritic cell vaccine and pembrolizumab induces immune responses in non-small cell lung cancer	Jan 22 2026	64	Homo sapiens;Mus musculus	lung	10X; 10x	2	Patient DCP01, 10x 3' expression multiflex library | Patient DCP02, 10x 3' expression multiflex library | Patient DCP03, 10x 3' expression multiflex library | Patient DCP06, 10x 3' expression multiflex library | Patient DCP07, 10x 3' expression multiflex library	Immune checkpoint inhibitors (ICIs) have transformed treatment for non-small cell lung cancer (NSCLC), but resistance to these therapies is common. We report results from a phase I trial combining intratumoral administration of a CCL21-gene modified dendritic cell (CCL21-DC) vaccine with pembrolizumab in patients with advanced NSCLC. Among 23 patients that received trial therapy, there were no dose-limiting toxicities and a low incidence of treatment-related adverse events. Although no objective	TBD (resolve via SRA)	needs_sra_check
D_mouse_other	overflow_passing_unselected	passed all auto-filters but not selected (only 2 additions accepted; see selected entries for the chosen)	GSE316887	"scRNA-seq AND ""10x Genomics"" AND ""Mus musculus""[ORGN] AND (kidney OR intestine OR lung) NOT neuron NOT liver"	yes	year=2026, n_samples=9	scRNA-seq revealed Ad5-HA-VLP-driven remodeling of the pulmonary immune landscape	Jan 20 2026	9	Mus musculus	lung	Chromium	1	Naive_1_D0 | Naive_2_D0 | Naive_3_D0 | Ad5-HA_1_D7 | Ad5-HA_2_D7	To delineate VLPs-induced remodeling of the pulmonary immune landscape, we performed single-cell RNA sequencing (scRNA-seq) on lung immune cells at 0 and 7 dpi with Ad5-HA-VLP and Ad5-HA	TBD (resolve via SRA)	needs_sra_check
D_mouse_other	overflow_passing_unselected	passed all auto-filters but not selected (only 2 additions accepted; see selected entries for the chosen)	GSE312383	"scRNA-seq AND ""10x Genomics"" AND ""Mus musculus""[ORGN] AND (kidney OR intestine OR lung) NOT neuron NOT liver"	yes	year=2025, n_samples=4	Single-cell RNA sequencing of Alkbh5-deficient AT2 cells Single-cell RNA sequencing of Alkbh5-deficient and control AT2 cells after bleomycin injuryafter bleomycin injury	Dec 03 2025	4	Mus musculus	lung	10X; 10x	1	AT2 Cell, Bleomycin, D14, replicate 1, scRNA-seq | AT2 Cell, Bleomycin, D14, replicate 2, scRNA-seq | A5-CKO-AT2 Cell, Bleomycin, D14, replicate 1, scRN | A5-CKO-AT2 Cell, Bleomycin, D14, replicate 2, scRN	AT2-specific Alkbh5 knockout mice and littermate controls were administered tamoxifen to induce gene deletion. After tamoxifen induction, mice received intratracheal bleomycin to induce lung injury. Fourteen days after injury, lungs were harvested and processed into single-cell suspensions. GFP⁺ AT2 cells (reporting Sftpc-driven Cre activity) were isolated by fluorescence-activated cell sorting (FACS). To ensure optimal cell loading for the 10x Genomics Chromium platform, 40% of sorted GFP⁺ AT2 	TBD (resolve via SRA)	needs_sra_check
D_mouse_other	filter_failed	no tissue match for ['kidney', 'intestine', 'lung', 'renal']	GSE287338	"scRNA-seq AND ""10x Genomics"" AND ""Mus musculus""[ORGN] AND (kidney OR intestine OR lung) NOT neuron NOT liver"	no	no tissue match for ['kidney', 'intestine', 'lung', 'renal']	Dynamic Reprogramming of Stromal Pdgfra-expressing cells during WNT-Mediated Transformation of the Intestinal Epithelium [Figure 2]	Jan 17 2025	5	Mus musculus		10X; 10x; Chromium	1	Control 1 | Bcat_GOF_day3 | Bcat_GOF_day4 | Bcat_GOF_day5 | Control 2	Stromal fibroblasts of the mesenchyme regulate critical signaling gradients along the crypt-villus axis1 and provide a niche that supports intestinal stem cells in the intestine. Here we report that Pdgfra-expressing fibroblasts secrete ligands that promote a fetal-like state in the intestinal mucosa during early WNT-mediated tumorigenesis. Using a mouse model of WNT-driven oncogenesis and single-cell RNA sequencing (RNA-seq) of mesenchyme cell populations, we revealed a dynamic reprogramming of	TBD (resolve via SRA)	needs_sra_check
D_mouse_other	overflow_passing_unselected	passed all auto-filters but not selected (only 2 additions accepted; see selected entries for the chosen)	GSE288156	"scRNA-seq AND ""10x Genomics"" AND ""Mus musculus""[ORGN] AND (kidney OR intestine OR lung) NOT neuron NOT liver"	yes	year=2025, n_samples=14	Progressive intestinal tumor cell plasticity, Myc activation and loss of Lgr5+ tumor stem cell lineage commitment upon Wnt depletion	Jan 27 2025	14	Mus musculus	intestine	10X; 10x; Chromium	2	Apc flox;Tcf7 del biol rep 1 | Apc flox;Tcf7 del biol rep 2 | Apc flox ctrl biol rep 1 | Apc flox ctrl biol rep 2 | wildtype	ScRNA-seq and ATAC-seq was used to investigate the role of Tcf7 and Lef1 in intestinal adenomas	TBD (resolve via SRA)	needs_sra_check
D_mouse_other	overflow_passing_unselected	passed all auto-filters but not selected (only 2 additions accepted; see selected entries for the chosen)	GSE262462	"scRNA-seq AND ""10x Genomics"" AND ""Mus musculus""[ORGN] AND (kidney OR intestine OR lung) NOT neuron NOT liver"	yes	year=2024, n_samples=4	Generation of synthetic kidneys from expandable kidney progenitors [Days 5 and 9]	Mar 26 2024	4	Mus musculus	kidney	10X; 10x	1	Kidney Explants D5, Replicate 1, scRNA-Seq | Kidney Explants D5, Replicate 2, scRNA-Seq | Kidney Explants D9, Replicate 1, scRNA-Seq | Kidney Explants D9, Replicate 2, scRNA-Seq	Kidney is the central organs responsible for maintaining the homeostasis of our body, the sophisticated structure and cell composition underpin kidney’s function. Here we report the generation of mouse synthetic kidneys (SK) from expandable nephron progenitor cells (NPC) and ureteric bud (UB). Unexpectedly, versatile renal interstitial cells can be induced in synthetic kidneys. Mechanistically, a portion of NPCs go through transdifferentiation and become interstitial progenitor cells (IPCs) in S	TBD (resolve via SRA)	needs_sra_check
D_mouse_other	filter_failed	no tissue match for ['kidney', 'intestine', 'lung', 'renal']	GSE299936	"scRNA-seq AND ""10x Genomics"" AND ""Mus musculus""[ORGN] AND (kidney OR intestine OR lung) NOT neuron NOT liver"	no	no tissue match for ['kidney', 'intestine', 'lung', 'renal']	Phenotypic profiling of neutrophils in acute Clostridioides difficile infection identifies a TNF-induced activation signature associated with epithelial damage.	Jun 17 2025	5	Mus musculus		10X; 10x; Chromium	3	Uninfected Host Bone Marrow | Uninfected Host Blood | CDI Host Bone Marrow | CDI Host Blood | CDI Host Colon	We performed single-cell RNA sequencing (scRNA-seq) on enriched neutrophils isolated from murine bone marrow, blood, and colon. This study aimed to investigate neutrophil heterogeneity and plasticity in response to Clostridioides difficile infection (CDI) and to elucidate mechanisms of neutrophil-associated tissue damage.	TBD (resolve via SRA)	needs_sra_check
D_mouse_other	filter_failed	no tissue match for ['kidney', 'intestine', 'lung', 'renal']	GSE312674	"scRNA-seq AND ""10x Genomics"" AND ""Mus musculus""[ORGN] AND (kidney OR intestine OR lung) NOT neuron NOT liver"	no	no tissue match for ['kidney', 'intestine', 'lung', 'renal']	Pressure Overload-Induced Ventricular Crosstalk Activates Regenerative Mechanisms in the Contralateral Ventricle in Neonatal Mice [scRNA-Seq]	Dec 05 2025	1	Mus musculus		10X; 10x; Chromium	1	snRNAseq_P14	Pulmonary artery banding (PAB) can restore left ventricular (LV) function in infants with end-stage LV dilated cardiomyopathy (LV-DCM), yet the underlying mechanisms remain unclear. Given the transient regenerative capacity of the neonatal heart, we investigated whether pressure overload in one ventricle activates adaptive and regenerative responses in the contralateral ventricle. We induced pressure overload in neonatal mice at postnatal day (P) 0-1  using pulmonary artery banding (nPAB) or tra	TBD (resolve via SRA)	needs_sra_check
